FM244020 "Quercus hartwissiana"                                  
FM244019 "Quercus hartwissiana"                                  
FM244018 "Quercus hartwissiana"                                  
FM244017 "Quercus frainetto"                                  
FM244016 "Quercus frainetto"                                  
FM244015 "Quercus frainetto"                                  
FM244014 "Quercus frainetto"                                  
FM244012 "Quercus frainetto"                                  
FM244011 "Quercus frainetto"                                  
FM244008 "Quercus frainetto"                                  
FM244006 "Quercus frainetto"                                  
FM244005 "Quercus frainetto"                                  
FM244004 "Quercus frainetto"                                  
FM244003 "Quercus frainetto"                                  
FM244002 "Quercus frainetto"                                  
FM244001 "Quercus faginea"                                  
FM244000 "Quercus faginea"                                  
FM243999 "Quercus faginea"                                  
FM243998 "Quercus faginea"                                  
FM243997 "Quercus lusitanica"                                  
FM243994 "Quercus faginea"                                  
FM243992 "Quercus faginea"                                  
FM243991 "Quercus faginea"                                  
FM243990 "Quercus faginea"                                  
FM243989 "Quercus faginea"                                  
FM243988 "Quercus faginea"                                  
FM243987 "Quercus faginea"                                  
FM243986 "Quercus faginea"                                  
FM243985 "Quercus faginea"                                  
FM243984 "Quercus faginea"                                  
FM243983 "Quercus faginea"                                  
FM243982 "Quercus dalechampii"                                  
FM243981 "Quercus canariensis"                                  
FM243980 "Quercus canariensis"                                  
FM243979 "Quercus canariensis"                                  
FM243978 "Quercus canariensis"                                  
FM243977 "Quercus canariensis"                                  
FM243976 "Quercus canariensis"                                  
FM243975 "Quercus canariensis"                                  
FM243974 "Quercus canariensis"                                  
FM243973 "Quercus canariensis"                                  
FM243972 "Quercus canariensis"                                  
FM243971 "Quercus canariensis"                                  
FM243970 "Quercus canariensis"                                  
FM243969 "Quercus canariensis"                                  
FM243968 "Quercus canariensis"                                  
FM243967 "Quercus canariensis"                                  
FM243966 "Quercus canariensis"                                  
FM243965 "Quercus canariensis"                                  
FM243964 "Quercus canariensis"                                  
FM243963 "Quercus canariensis"                                  
FM243962 "Quercus canariensis"                                  
FM243961 "Quercus canariensis"                                  
FM243959 "Quercus canariensis"                                  
FM243958 "Quercus canariensis"                                  
FM243957 "Quercus canariensis"                                  
FM243956 "Quercus canariensis"                                  
FM243955 "Quercus canariensis"                                  
FM243954 "Quercus canariensis"                                  
FM243953 "Quercus canariensis"                                  
FM243952 "Quercus canariensis"                                  
FM243951 "Quercus canariensis"                                  
FM243950 "Quercus canariensis"                                  
FM243949 "Quercus canariensis"                                  
FM243948 "Quercus canariensis"                                  
FM243947 "Quercus canariensis"                                  
FM243946 "Quercus canariensis"                                  
FM243945 "Quercus infectoria"                                  
FM243944 "Quercus infectoria"                                  
FM243942 "Quercus infectoria"                                  
FM243941 "Quercus infectoria"                                  
FM243940 "Quercus infectoria"                                  
FM243938 "Quercus infectoria"                                  
FM243936 "Quercus infectoria"                                  
FM243935 "Quercus infectoria"                                  
FM243934 "Quercus infectoria"                                  
FM243933 "Quercus infectoria"                                  
FM243932 "Quercus trojana"                                  
FM243931 "Quercus trojana"                                  
FM243930 "Quercus trojana"                                  
FM243929 "Quercus trojana"                                  
FM243928 "Quercus trojana"                                  
FM243927 "Quercus trojana"                                  
FM243926 "Quercus trojana"                                  
FM243925 "Quercus trojana"                                  
FM243923 "Quercus trojana"                                  
FM243922 "Quercus trojana"                                  
FM243921 "Quercus trojana"                                  
FM243920 "Quercus trojana"                                  
FM243919 "Quercus trojana"                                  
FM243918 "Quercus suber"                                  
FM243917 "Quercus suber"                                  
FM243916 "Quercus suber"                                  
FM243915 "Quercus suber"                                  
FM243914 "Quercus suber"                                  
FM243913 "Quercus suber"                                  
FM243912 "Quercus suber"                                  
FM243911 "Quercus suber"                                  
FM243910 "Quercus suber"                                  
FM243909 "Quercus suber"                                  
FM243908 "Quercus suber"                                  
FM243907 "Quercus suber"                                  
FM243906 "Quercus suber"                                  
FM243905 "Quercus suber"                                  
FM243904 "Quercus suber"                                  
FM243903 "Quercus suber"                                  
FM243902 "Quercus suber"                                  
FM243901 "Quercus suber"                                  
FM243900 "Quercus suber"                                  
FM243899 "Quercus suber"                                  
FM243898 "Quercus suber"                                  
FM243897 "Quercus suber"                                  
FM243896 "Quercus suber"                                  
FM243895 "Quercus suber"                                  
FM243894 "Quercus suber"                                  
FM243893 "Quercus suber"                                  
FM243892 "Quercus suber"                                  
FM243891 "Quercus suber"                                  
FM243890 "Quercus suber"                                  
FM243889 "Quercus suber"                                  
FM243888 "Quercus suber"                                  
FM243887 "Quercus suber"                                  
FM243886 "Quercus suber"                                  
FM243885 "Quercus suber"                                  
FM243884 "Quercus suber"                                  
FM243883 "Quercus suber"                                  
FM243882 "Quercus suber"                                  
FM243881 "Quercus suber"                                  
FM243880 "Quercus suber"                                  
FM243879 "Quercus suber"                                  
FM243878 "Quercus suber"                                  
FM243877 "Quercus suber"                                  
